id,name,description,symptoms,treatment_organic,treatment_inorganic,treatment_homemade,prevention
Tomato___Bacterial_spot,Bacterial Spot,"A serious bacterial disease (Xanthomonas spp.) affecting all above-ground plant parts, thriving in warm, wet conditions.","Small, water-soaked spots on leaves that turn necrotic; Spots may have yellow halos; Scabby, raised spots on fruit; Leaf yellowing and drop",Copper-based bactericides (apply early at first sign).; Agri-Strep (Streptomycin) if permitted.; Remove severely infected plants.,Fixed Copper + Mancozeb (tank mix is more effective than copper alone); Actigard (systemic acquired resistance inducer),Diluted hydrogen peroxide spray (temporary reduction of surface bacteria).,Use disease-free certified seeds. Avoid overhead watering. Stake plants to keep foliage dry.
Tomato___Early_Blight,Tomato   Early Blight,No detailed description available yet.,,,,,
Tomato___Early_blight,Early Blight,Common fungal disease affecting older leaves first.,Brown spots with concentric rings (target pattern); Lower leaves yellowing,Copper fungicide.; Neem oil.,Chlorothalonil; Mancozeb,"Baking soda mix (1 tbsp soda, 1 tsp soap, 1 gal water).",Stake plants. Mulch to stop soil splash.
Tomato___Healthy,Tomato   Healthy,No detailed description available yet.,,,,,
Tomato___Late_Blight,Tomato   Late Blight,No detailed description available yet.,,,,,
Tomato___Late_blight,Late Blight,A highly destructive disease caused by Phytophthora infestans. Can destroy a crop in days if cool and wet.,"LARGE, dark, greasy-looking spots on leaves/stems; White fuzz on leaf undersides in morning; Firm, brown rot on fruit (greasy appearance); Rapid plant death","Copper spray (preventative only, apply before rain).; Pull and bag infected plants immediately.; Biofungicides (Bacillus amyloliquefaciens).",Chlorothalonil (Daconil); Propamocarb; Cymoxanil,No effective home cure. Prevention and removal are key.,Avoid planting near potatoes. Destroy volunteer tomato/potato plants. Ensure good airflow.
Tomato___Leaf_Mold,Leaf Mold,Fungus common in greenhouses or humid areas.,Pale yellow spots on upper leaf; Olive-green fuzzy mold on underside,Copper fungicide.; Reduce humidity.,Chlorothalonil,Vinegar solution (caution).,Increase spacing/air circulation.
Tomato___Septoria_leaf_spot,Septoria Leaf Spot,Fungus causing many small spots.,Many small circular spots with dark borders; Lower leaves dropping,Copper fungicide.; Remove lower infected leaves.,Chlorothalonil,Baking soda spray.,Mulch. Do not handle wet plants.
Tomato___Spider_mites Two-spotted_spider_mite,Spider Mites,Tiny pests that suck plant sap.,Stippling (tiny yellow dots) on leaves; Fine webbing between leaves; Bronzing,Neem oil.; Insecticidal soap.; Predatory mites.,Specific miticides (abamectin).,Blast with strong water spray.; Rosemary oil spray.,Keep plants watered (mites like dry/dusty).
Tomato___Target_Spot,Target Spot,Fungal disease with bullseye lesions.,Brown/black lesions with concentric rings; Fruit pitting,Copper fungicide.,Chlorothalonil; Azoxystrobin,Baking soda mix.,Improve airflow. Remove crop debris.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Yellow Leaf Curl Virus,Viral disease spread by whiteflies.,Leaves curling upward; Yellowing edges; Stunted growth,Control whiteflies (Neem/Soap).; Remove infected plants (No cure).,Imidacloprid (for vector control).,Yellow sticky traps for whiteflies.,Use virus-resistant varieties. Trap whiteflies.
Tomato___Tomato_mosaic_virus,Mosaic Virus,Highly contagious virus.,Mottled light/dark green pattern; Distorted leaves; Fern-like growth,Remove and burn infected plants immediately (No cure).; Sanitize tools.,None.,Milk dip for tools (prevents spread).,Wash hands (smokers can transmit TMV). Plant resistant varieties.
Tomato___healthy,Healthy Tomato,Your tomato plant looks healthy!,,,,,Regular watering and pruning.
