Pest/Disease Name,Symptoms,Organic Medicine & Application,Inorganic Medicine & Application,Homemade Remedy & Application
Mango flat beak leafhopper,"Infestation of Mango flat beak leafhopper causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Miridae,"Infestation of Miridae causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Nipaecoccus vastalor,"Infestation of Nipaecoccus vastalor causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Papilio xuthus,"Infestation of Papilio xuthus causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Parlatoria zizyphus Lucus,"Infestation of Parlatoria zizyphus Lucus causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Phyllocnistis citrella Stainton,"Infestation of Phyllocnistis citrella Stainton causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Phyllocoptes oleiverus ashmead,"Infestation of Phyllocoptes oleiverus ashmead causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Pieris canidia,"Infestation of Pieris canidia causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Polyphagotars onemus latus,"Infestation of Polyphagotars onemus latus causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Potosiabre vitarsis,"Infestation of Potosiabre vitarsis causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Prodenia litura,"Infestation of Prodenia litura causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Pseudococcus comstocki Kuwana,"Infestation of Pseudococcus comstocki Kuwana causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Rhytidodera bowrinii white,"Infestation of Rhytidodera bowrinii white causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Salurnis marginella Guerr,"Infestation of Salurnis marginella Guerr causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Scirtothrips dorsalis Hood,"Infestation of Scirtothrips dorsalis Hood causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Sternochetus frigidus,"Infestation of Sternochetus frigidus causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Tetradacus c Bactrocera minax,"Infestation of Tetradacus c Bactrocera minax causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Thrips,"Infestation of Thrips causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Toxoptera aurantii,"Infestation of Toxoptera aurantii causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Toxoptera citricidus,"Infestation of Toxoptera citricidus causes visible plant damage such as discoloration, deformation, stunted growth, and yield reduction.",Neem oil (2%): Spray uniformly on affected plant parts every 10–14 days during infestation.,Chemical control: Apply recommended insecticide/fungicide at label dose when pest population exceeds economic threshold level.,Soap or botanical spray: Prepare mild soap or plant extract solution and spray directly on infested areas.
Trialeurodes vaporariorum,"Trialeurodes vaporariorum infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
Unaspis yanonensis,"Unaspis yanonensis infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
Xylotrechus,"Xylotrechus infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
alfalfa plant bug,"alfalfa plant bug infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
alfalfa seed chalcid,"alfalfa seed chalcid infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
alfalfa weevil,"alfalfa weevil infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
aphids,"aphids infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
army worm,"army worm infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
asiatic rice borer,"asiatic rice borer infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
beet army worm,"beet army worm infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
beet fly,"beet fly infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
beet weevil,"beet weevil infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
bird cherry-oataphid,"bird cherry-oataphid infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
black cutworm,"black cutworm infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
blister beetle,"blister beetle infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
brown plant hopper,"brown plant hopper infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
cabbage army worm,"cabbage army worm infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
cerodonta denticornis,"cerodonta denticornis infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
corn borer,"corn borer infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
english grain aphid,"english grain aphid infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
flax budworm,"flax budworm infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
flea beetle,"flea beetle infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
grain spreader thrips,"grain spreader thrips infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
green bug,"green bug infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
grub,"grub infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
large cutworm,"large cutworm infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
legume blister beetle,"legume blister beetle infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
longlegged spider mite,"longlegged spider mite infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
lytta polita,"lytta polita infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
meadow moth,"meadow moth infestation leads to symptoms such as leaf damage, discoloration, deformities, poor growth, and yield loss.",Neem-based formulations (2%): Spray on foliage at 10–14 day intervals during infestation period.,Chemical control: Use recommended insecticide or fungicide as per crop and label instructions when threshold levels are crossed.,Homemade remedy: Prepare soap or plant-extract solution and spray directly on affected plant parts.
mole cricket,"mole cricket infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
odontothrips loti,"odontothrips loti infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
paddy stem maggot,"paddy stem maggot infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
parathrene regalis,"parathrene regalis infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
peach borer,"peach borer infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
penthaleus major,"penthaleus major infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
red spider,"red spider infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
rice gall midge,"rice gall midge infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
rice leaf caterpillar,"rice leaf caterpillar infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
rice leaf roller,"rice leaf roller infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
rice leafhopper,"rice leafhopper infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
rice shell pest,"rice shell pest infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
rice water weevil,"rice water weevil infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
sericaorient alismots chulsky,"sericaorient alismots chulsky infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
small brown plant hopper,"small brown plant hopper infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
tarnished plant bug,"tarnished plant bug infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
therioaphis maculata Buckton,"therioaphis maculata Buckton infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
wheat blossom midge,"wheat blossom midge infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
wheat phloeothrips,"wheat phloeothrips infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
wheat sawfly,"wheat sawfly infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
white backed plant hopper,"white backed plant hopper infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
white margined moth,"white margined moth infestation causes visible damage such as discoloration, deformities, wilting, poor growth, and yield reduction.",Neem oil / biopesticide (2%): Spray uniformly on affected plant parts every 10–14 days.,Chemical pesticide: Apply recommended formulation at label dose when economic threshold is exceeded.,Homemade spray: Prepare mild soap or botanical extract solution and spray directly on infested areas.
