ID,Type,Name (DB),Status,Missing Symptoms,Missing Treatments
rice_leaf_caterpillar,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_leaf_roller,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_leafhopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_shell_pest,Pest/Insect,SAME,MISSING RECORD,YES,YES
rice_water_weevil,Pest/Insect,SAME,MISSING RECORD,YES,YES
sericaorient_alismots_chulsky,Pest/Insect,SAME,MISSING RECORD,YES,YES
small_brown_plant_hopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
tarnished_plant_bug,Pest/Insect,SAME,MISSING RECORD,YES,YES
therioaphis_maculata_Buckton,Pest/Insect,SAME,MISSING RECORD,YES,YES
wheat_blossom_midge,Pest/Insect,SAME,MISSING RECORD,YES,YES
wheat_phloeothrips,Pest/Insect,SAME,MISSING RECORD,YES,YES
wheat_sawfly,Pest/Insect,SAME,MISSING RECORD,YES,YES
white_backed_plant_hopper,Pest/Insect,SAME,MISSING RECORD,YES,YES
white_margined_moth,Pest/Insect,SAME,MISSING RECORD,YES,YES
wireworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
yellow_cutworm,Pest/Insect,SAME,MISSING RECORD,YES,YES
yellow_rice_borer,Pest/Insect,SAME,MISSING RECORD,YES,YES
